"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 11:36:03 CEST 2021","Sun Aug 15 11:39:03 CEST 2021","179421","testproject","TC006newblog_test","","","","test_newpost",""
"passed","Sun Aug 15 11:34:58 CEST 2021","Sun Aug 15 11:35:37 CEST 2021","39080","testproject","TC003username_mod_test","","","","test_username_mod",""
"passed","Sun Aug 15 11:35:37 CEST 2021","Sun Aug 15 11:35:51 CEST 2021","14677","testproject","TC004logout_test","","","","test_sign_in",""
"passed","Sun Aug 15 11:34:14 CEST 2021","Sun Aug 15 11:34:45 CEST 2021","31417","testproject","TC001registration_test","TestUserReg","","","test_registration",""
"passed","Sun Aug 15 11:34:45 CEST 2021","Sun Aug 15 11:34:58 CEST 2021","12601","testproject","TC002login_test","","","","test_login",""
"passed","Sun Aug 15 11:40:20 CEST 2021","Sun Aug 15 11:40:37 CEST 2021","17807","testproject","TC010globalfeed_test","","","","test_Global",""
"passed","Sun Aug 15 11:35:51 CEST 2021","Sun Aug 15 11:36:03 CEST 2021","11733","testproject","TC005follow_test","","","","test_follow",""
"passed","Sun Aug 15 11:39:46 CEST 2021","Sun Aug 15 11:40:10 CEST 2021","23952","testproject","TC008postdelete_test","","","","test_blog_delete",""
"passed","Sun Aug 15 11:39:03 CEST 2021","Sun Aug 15 11:39:46 CEST 2021","43878","testproject","TC007postcomment_test","","","","test_comment",""
"passed","Sun Aug 15 11:40:10 CEST 2021","Sun Aug 15 11:40:20 CEST 2021","9220","testproject","TC009cookies_test","","","","test_cookie",""
